,station,lon,lat
651,YMLT,147.2142,-41.5453
652,YPLM,114.0967,-22.2406
653,YLEC,138.426,-30.5983
654,YLIS,153.26,-28.8303
655,YLRE,144.28,-23.4342
656,YLHI,159.077,-31.5383
657,YBMK,149.2169,-21.1172
658,YMEK,118.548,-26.6117
659,YMML,144.8321,-37.6655
660,YMEN,144.9019,-37.7281
661,YMER,149.901,-36.9086
662,YMIA,142.086,-34.2292
663,YMOR,149.845,-29.4989
664,YMTG,140.785,-37.7456
665,YBMA,139.4875,-20.6778
666,YMDG,149.611,-32.5625
667,YNBR,149.827,-30.3192
668,YNAR,146.514,-34.705
669,ANYN,166.9191,-0.5475
670,YWLM,151.8344,-32.795
671,YNWN,119.803,-23.4178
672,YSNF,167.9408,-29.0389
673,YNTN,141.0703,-17.6836
674,YSNW,150.5353,-34.9469
675,YBOK,151.7413,-27.4034
676,YOLD,136.877,-30.485
677,YPBO,117.745,-23.1711
678,YPPH,115.9761,-31.9275
679,YPEA,116.0167,-31.6667
680,YPJT,115.8794,-32.1011
681,YPPD,118.6317,-20.3725
682,YPMQ,152.863,-31.4358
683,YBPN,148.555,-20.4925
684,YRMD,143.1167,-20.7017
685,YSRI,150.7808,-33.6006
686,YBRK,150.4775,-23.3753
687,YSSY,151.1731,-33.9465
688,YSTW,150.8467,-31.0839
689,YTRE,152.5139,-31.8886
690,YTEF,122.2286,-21.715
691,YTNK,134.1833,-19.6333
692,YBWW,151.7933,-27.5583
693,YBTL,146.7661,-19.2483
694,YAYE,130.976,-25.1861
695,YAYT,132.5391,-27.0591
696,YSWG,147.4573,-35.1583
697,YWGT,146.3069,-36.4158
698,YBWP,142.0869,-12.6167
699,YWHA,137.5205,-33.0539
700,YPWR,136.8054,-31.1558
701,LOXA,14.1381,47.5325
702,LOAV,16.2606,47.965
703,LOWG,15.4396,46.9911
704,LOIH,9.7,47.3833
705,LOWI,11.344,47.2602
706,LOWK,14.3167,46.65
707,LOAG,15.6347,48.4467
708,LOWL,14.1875,48.2332
709,TTPP,-61.3483,10.5933
710,LOWS,13.0,47.8
711,LOXT,16.1181,48.3239
712,LOWW,16.5708,48.1108
713,LOXN,16.2314,47.8322
714,LOAN,16.2601,47.8433
715,LOWZ,12.7875,47.2925
716,LOXZ,14.7442,47.2028
717,UBBB,50.0667,40.45
718,UBBF,47.1966,39.5944
719,UBBG,46.3176,40.7377
720,UBBL,48.818,38.7464
721,UBBN,45.4584,39.1888
722,AZUH,45.456,39.1868
723,UBBQ,47.7253,40.8089
724,UBEE,47.1419,40.6319
725,UBBY,46.6672,41.5622
726,MYAF,-77.7956,24.6983
727,MBGT,-71.1423,21.4445
728,MYSM,-74.524,24.0633
729,MYGF,-78.6956,26.5587
730,MYEG,-75.7667,23.5
731,MYEM,-76.331,25.2847
732,MYIG,-73.6669,20.975
733,MYNN,-77.4662,25.039
734,MYCB,-75.4523,24.3153
735,MBPV,-72.2659,21.7736
736,OBBI,50.6336,26.2708
737,VGEG,91.8167,22.2667
738,VGHS,90.3978,23.8433
739,VGSY,91.8696,24.9595
740,TBPB,-59.4925,13.0746
741,UMBB,23.6858,52.1167
742,UMGG,31.0167,52.527
743,UMMG,24.0556,53.6022
744,UMMM,27.5397,53.8645
745,UMMS,28.0333,53.8833
746,UMOO,30.0961,53.9556
747,UMII,30.2167,55.1667
748,EBAW,4.4603,51.1894
749,EBBE,4.7683,50.7586
750,EBBR,4.526,50.8962
751,EBCI,4.4538,50.4592
752,EBCV,3.831,50.5758
753,EBLB,6.1819,50.4817
754,EBFS,4.6458,50.2433
755,EBBL,5.47,51.1683
756,EBFN,2.6528,51.0903
757,EBLG,5.45,50.65
758,EBOS,2.8622,51.1989
759,EBDT,5.0698,51.009
760,MZBZ,-88.3082,17.5391
761,DBBC,2.0667,7.1667
762,DBBB,2.3844,6.3572
763,TXKF,-64.6787,32.364
764,VQPR,89.4246,27.4032
765,SLBU,-63.5833,-13.5833
766,SLCA,-63.5278,-20.0064
767,SLCO,-68.783,-11.0404
768,SLCB,-66.1771,-17.4211
769,SLCP,-62.0167,-16.15
770,SLGM,-65.3814,-10.8881
771,SLLP,-68.1923,-16.5133
772,SLMG,-64.1167,-13.3333
773,SLOR,-67.0762,-17.9626
774,SLPO,-65.7237,-19.5431
775,SLPS,-57.8206,-18.9753
776,SLRQ,-67.5014,-14.424
777,SLRY,-67.3833,-14.3167
778,SLRI,-66.0759,-11.0064
779,SLRB,-59.765,-18.3292
780,SLSM,-65.6,-14.9167
781,SLSI,-60.9628,-16.3836
782,SLJO,-64.816,-13.067
783,SLJE,-60.7333,-17.8
784,SLRA,-64.7,-13.3
785,SLSA,-65.4352,-13.7622
786,SLVR,-63.1354,-17.6448
787,SLET,-63.1715,-17.8116
788,SLSR,-66.7868,-14.0662
789,SLSU,-65.2888,-19.0071
790,SLTJ,-64.7013,-21.5557
791,SLTR,-64.918,-14.8187
792,SLVG,-64.099,-18.467
793,SLVM,-63.45,-21.25
794,SLYA,-63.6517,-21.9609
795,SLAL,-65.1496,-19.2468
796,LQBK,17.2167,44.7833
797,LQMO,17.8,43.35
798,FBFT,27.5,-21.2167
799,FBSK,25.9182,-24.5552
800,FBKE,25.1624,-17.8329
801,FBKR,23.783,-19.15
802,FBMN,23.4275,-19.9756
803,FBPM,27.48,-21.16
804,FBSP,27.8288,-22.0584
805,SBLB,-39.9169,-22.1094
806,SBMD,-52.6022,-0.8898
807,SBAT,-56.1062,-9.8661
808,SBHT,-52.2,-3.2
809,SBAM,-50.8582,2.0775
810,SBAN,-48.9643,-16.2292
811,SBAR,-37.0703,-10.984
812,SBAU,-50.4247,-21.1413
813,SBAQ,-48.133,-21.812
